#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
14649,PDT000092615.1,Canada:Alberta,GCA_001414105.1,2011,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
14650,PDT000092613.1,Canada:Alberta,GCA_001414085.1,2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
14672,PDT000092618.1,Canada:Alberta,GCA_001414165.1,2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
14673,PDT000092619.1,Canada:Alberta,GCA_001414175.1,2012,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ATCC 9027,PDT000092102.1,Canada,GCA_001402955.1,1966,clinical,Homo sapiens,"blaPDC-151=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
KY1,PDT000046864.1,Malaysia,GCA_000813565.1,2014-04,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
DR1,PDT000047526.1,India: Telangana,GCA_000817165.1,2012,,,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-118=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
F9676,PDT000071251.1,China: Hangzhou,GCA_001077475.1,2009,,rice,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA130788,PDT000339985.1,Hong Kong,GCA_003267915.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
WPB098,PDT000371954.1,Singapore,GCA_003441575.1,2014-09,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-20=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_153837,PDT000383145.1,Hong Kong,GCA_003585115.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1034=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
PA_151970,PDT000383151.1,Hong Kong,GCA_003585235.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-112=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA_151345,PDT000383152.1,Hong Kong,GCA_003585225.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
YD001,PDT000759611.1,"China:Guangdong province,Yingde city",GCA_013260445.1,18/09/2018,,Morus alba,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
HU20,PDT001258987.1,Viet Nam,GCA_022453765.1,2020,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
8D,PDT001302231.2,China: Changqing oil feild,GCA_023272755.1,2010,,,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ATCC 33988,PDT000039739.1,"USA: Ponca City, OK",GCA_000756575.1,04/01/1984,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SMC4386,PDT000101148.1,"India: Madurai, Aravind Eye Hospital",GCA_001482885.1,2009,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
L6-1,PDT000101156.1,China: Xinjiang,GCA_001483235.1,2014,,,"aph(3')-IIb=COMPLETE,blaOXA-1026=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
