#FILE	NUM_FOUND	Col(BS512)_1	Col(IRGK)_1	Col(MG828)_1	Col(pWES)_1	Col156_1	Col440II_1	Col440I_1	Col8282_1	ColE10_1	ColRNAI_1	ColpVC_1	IncP1_1	IncP1_2	IncP6_1	IncQ1_1	IncQ2_1	IncU_1	rep10_3_pNE131p1(pNE131)	rep14a_4_rep(AUS0004p3)	rep14b_4_EMQU3221(pQY003)	rep21_22_CDS1(pUSA01)	rep40_1_repA(SAP106A)	rep5c_1_rep(pRJ9)	rep5d_1_rep(pJE1)	rep7a_11_rep(SAP060B)	rep7a_16_repC(Cassette)	repUS2_1_repA(pBI143)	repUS35_1_A28412072(pvSw2)	repUS44_1_ORF7(SP187)
GCA_000006765.1_ASM676v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000014625.1_ASM1462v1_genomic.fna.gz	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.00	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000017205.1_ASM1720v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000026645.1_ASM2664v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000148745.1_ASM14874v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000152545.1_ASM15254v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000168335.1_ASM16833v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000172395.1_ASM17239v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000215775.5_PA13_miseq_genomic.fna.gz	1	.	.	.	.	.	.	.	.	.	.	.	.	.	96.65	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000215795.5_PA15_miseq_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000220025.4_ASM22002v4_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000223925.2_ASM22392v2_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000223945.2_ASM22394v2_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000223965.2_ASM22396v2_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
GCA_000226155.1_ASM22615v1_genomic.fna.gz	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
